+--------+-----------+----------------------------------------------------+-------------------------------+------------------------------------------------------------------------+--------------+
| Domain | Method    | URI                                                | Name                          | Action                                                                 | Middleware   |
+--------+-----------+----------------------------------------------------+-------------------------------+------------------------------------------------------------------------+--------------+
|        | GET|HEAD  | /                                                  |                               | Closure                                                                | web          |
|        | GET|HEAD  | activite                                           | activite.index                | App\Http\Controllers\ActivitesController@index                         | web          |
|        | POST      | activite                                           | activite.store                | App\Http\Controllers\ActivitesController@store                         | web          |
|        | GET|HEAD  | activite/create                                    | activite.create               | App\Http\Controllers\ActivitesController@create                        | web          |
|        | GET|HEAD  | activite/{activite}                                | activite.show                 | App\Http\Controllers\ActivitesController@show                          | web          |
|        | PUT|PATCH | activite/{activite}                                | activite.update               | App\Http\Controllers\ActivitesController@update                        | web          |
|        | DELETE    | activite/{activite}                                | activite.destroy              | App\Http\Controllers\ActivitesController@destroy                       | web          |
|        | GET|HEAD  | activite/{activite}/edit                           | activite.edit                 | App\Http\Controllers\ActivitesController@edit                          | web          |
|        | GET|HEAD  | activite_conc_classe                               | activite_conc_classe.index    | App\Http\Controllers\Activite_conc_classesController@index             | web          |
|        | POST      | activite_conc_classe                               | activite_conc_classe.store    | App\Http\Controllers\Activite_conc_classesController@store             | web          |
|        | GET|HEAD  | activite_conc_classe/create                        | activite_conc_classe.create   | App\Http\Controllers\Activite_conc_classesController@create            | web          |
|        | DELETE    | activite_conc_classe/{activite_conc_classe}        | activite_conc_classe.destroy  | App\Http\Controllers\Activite_conc_classesController@destroy           | web          |
|        | PUT|PATCH | activite_conc_classe/{activite_conc_classe}        | activite_conc_classe.update   | App\Http\Controllers\Activite_conc_classesController@update            | web          |
|        | GET|HEAD  | activite_conc_classe/{activite_conc_classe}        | activite_conc_classe.show     | App\Http\Controllers\Activite_conc_classesController@show              | web          |
|        | GET|HEAD  | activite_conc_classe/{activite_conc_classe}/edit   | activite_conc_classe.edit     | App\Http\Controllers\Activite_conc_classesController@edit              | web          |
